"Organization Name","System","LTC Vaccinator","Within 7-days (7-day average)","100% for the 7-day goal (number of doses)","As-of Date","webDate"
"Mayo Clinic Health System","Health Care Systems","0","100 %",107572,"3/19/2021",2021-03-21
"McLeod County Public Health","Local Public Health","0","100 %",2887,"3/19/2021",2021-03-21
"Medicap Pharmacy","Pharmacies","0","100 %",281,"3/19/2021",2021-03-21
"Meeker County Public Health","Local Public Health","Yes","100 %",1518,"3/19/2021",2021-03-21
"Meeker Memorial Health System","Local hospitals, health care providers","0","100 %",2104,"3/19/2021",2021-03-21
"MercyOne Family Medicine Albert Lea","Local hospitals, health care providers","0","100 %",200,"3/19/2021",2021-03-21
"Mille Lacs County Community and Veterans Services","Local Public Health","Yes","100 %",2824,"3/19/2021",2021-03-21
"Mille Lacs Family Clinics","Local hospitals, health care providers","0","100 %",1194,"3/19/2021",2021-03-21
"Minneapolis Health Clinic Golden Valley","Local hospitals, health care providers","0","99 %",417,"3/19/2021",2021-03-21
"Minnesota Community Care","Federally Qualified Health Centers","0","93 %",6434,"3/19/2021",2021-03-21
"Montevideo Hospital and Clinic","Local hospitals, health care providers","0","100 %",2089,"3/19/2021",2021-03-21
"Morrison County Public Health","Local Public Health","0","99 %",1031,"3/19/2021",2021-03-21
"Mower County Health and Human Services","Local Public Health","0","100 %",2890,"3/19/2021",2021-03-21
"Murray County Medical Center","Local hospitals, health care providers","0","100 %",1207,"3/19/2021",2021-03-21
"Neighborhood Health Source","Federally Qualified Health Centers","0","95 %",1848,"3/19/2021",2021-03-21
"Nicollet County Public Health","Local Public Health","0","100 %",2078,"3/19/2021",2021-03-21
"Nobles County Community Services","Local Public Health","0","100 %",970,"3/19/2021",2021-03-21
"Nords Pharmacy and Gifts","Pharmacies","Yes","100 %",1626,"3/19/2021",2021-03-21
"Norman-Mahnomen Public Health","Local Public Health","0","100 %",1129,"3/19/2021",2021-03-21
"North Memorial","Health Care Systems","0","100 %",30764,"3/19/2021",2021-03-21
"North Shore Health","Federally Qualified Health Centers","0","88 %",1059,"3/19/2021",2021-03-21
"North Valley Health Center","Local hospitals, health care providers","0","100 %",990,"3/19/2021",2021-03-21
"North Valley Public Health","Local Public Health","0","100 %",639,"3/19/2021",2021-03-21
"Northfield Hospital and Clinics","Local hospitals, health care providers","0","100 %",7331,"3/19/2021",2021-03-21
"NorthPoint Health and Wellness Center","Federally Qualified Health Centers","0","100 %",5233,"3/19/2021",2021-03-21
"Northwest Family Physicians","Local hospitals, health care providers","0","100 %",2250,"3/19/2021",2021-03-21
"NuCara Pharmacy","Pharmacies","Yes","94 %",684,"3/19/2021",2021-03-21
"Odam Medical Group","Local hospitals, health care providers","0","100 %",662,"3/19/2021",2021-03-21
"Olmsted County Public Health Services","Local Public Health","0","100 %",7935,"3/19/2021",2021-03-21
"Olmsted Medical Center","Local hospitals, health care providers","0","100 %",4795,"3/19/2021",2021-03-21
"Open Cities Health Center - Dunlap","Federally Qualified Health Centers","0","100 %",886,"3/19/2021",2021-03-21
"Open Door Health Center","Federally Qualified Health Centers","0","100 %",1283,"3/19/2021",2021-03-21
"Ortonville Area Health Services","Local hospitals, health care providers","0","100 %",1555,"3/19/2021",2021-03-21
"Other","Pharmacies","0","100 %",3747,"3/19/2021",2021-03-21
"Otter Tail County Public Health","Local Public Health","Yes","100 %",2654,"3/19/2021",2021-03-21
"Palubicki's Pharmacy","Pharmacies","0","100 %",286,"3/19/2021",2021-03-21
"Parkview Medical Clinic - New Prague","Local hospitals, health care providers","0","100 %",627,"3/19/2021",2021-03-21
"Parkway Family Physicians","Local hospitals, health care providers","0","100 %",212,"3/19/2021",2021-03-21
"Perham Hospital District","Local hospitals, health care providers","Yes","100 %",3811,"3/19/2021",2021-03-21
"Phalen Family Pharmacy","Pharmacies","0","100 %",502,"3/19/2021",2021-03-21
"Pine County CHB","Local Public Health","Yes","100 %",2644,"3/19/2021",2021-03-21
"Pinnacle Medicine","Local hospitals, health care providers","0","100 %",200,"3/19/2021",2021-03-21
"Polaris Pharmacy Services","Pharmacies","Yes","81 %",7828,"3/19/2021",2021-03-21
"Polk County Public Health","Local Public Health","0","100 %",1726,"3/19/2021",2021-03-21
"Prairie Care","Local hospitals, health care providers","0","100 %",855,"3/19/2021",2021-03-21
"Premise Health","Local hospitals, health care providers","0","100 %",87,"3/19/2021",2021-03-21
"Rainy Lake Medical Center","Local hospitals, health care providers","0","98 %",1241,"3/19/2021",2021-03-21
"Regency Hospital of Minneapolis","Local hospitals, health care providers","0","100 %",429,"3/19/2021",2021-03-21
"Renville County Public Health","Local Public Health","Yes","100 %",1344,"3/19/2021",2021-03-21
"Rice County Public Health Nursing Service","Local Public Health","Yes","100 %",3935,"3/19/2021",2021-03-21
"Ridgeview Medical","Local hospitals, health care providers","0","100 %",4848,"3/19/2021",2021-03-21
"River's Edge Health Care","Local hospitals, health care providers","0","87 %",498,"3/19/2021",2021-03-21
"Riverview Health","Local hospitals, health care providers","0","100 %",3097,"3/19/2021",2021-03-21
"Riverwood Healthcare","Local hospitals, health care providers","0","100 %",2918,"3/19/2021",2021-03-21
"Robbinsdale Clinic, P.A.","Local hospitals, health care providers","0","100 %",100,"3/19/2021",2021-03-21
"Rochester Clinic, PLC","Local hospitals, health care providers","0","100 %",357,"3/19/2021",2021-03-21
"Rolseth Drug Co.","Pharmacies","0","100 %",200,"3/19/2021",2021-03-21
"Sage Prairie Clinic","Local hospitals, health care providers","0","100 %",200,"3/19/2021",2021-03-21
"Sanford Health","Health Care Systems","0","100 %",33490,"3/19/2021",2021-03-21
"Sartell Pediatrics","Local hospitals, health care providers","0","100 %",60,"3/19/2021",2021-03-21
"Sawtooth Mountain Clinic","Federally Qualified Health Centers","0","100 %",2040,"3/19/2021",2021-03-21
"Scenic Rivers Health Services","Federally Qualified Health Centers","0","96 %",7358,"3/19/2021",2021-03-21
"Scott County Public Health","Local Public Health","0","100 %",11206,"3/19/2021",2021-03-21
"Setzer Pharmacy","Local hospitals, health care providers","0","100 %",588,"3/19/2021",2021-03-21
"Seward Pharmacy","Pharmacies","0","100 %",121,"3/19/2021",2021-03-21
"Sherburne County Public Health","Local Public Health","Yes","100 %",5245,"3/19/2021",2021-03-21
"Sibley County Public Health and Human Services","Local Public Health","Yes","100 %",1338,"3/19/2021",2021-03-21
"Simplicity Health","Local hospitals, health care providers","0","100 %",249,"3/19/2021",2021-03-21
"Sleepy Eye Medical Center","Local hospitals, health care providers","0","100 %",1351,"3/19/2021",2021-03-21
"Southdale Physicians - Edina Primary Care","Local hospitals, health care providers","0","100 %",143,"3/19/2021",2021-03-21
"Southside Community Health Services","Federally Qualified Health Centers","0","89 %",2511,"3/19/2021",2021-03-21
"Southwest Health and Human Services","Local Public Health","Yes","100 %",3731,"3/19/2021",2021-03-21
"Specialist in Internal Medicine, P.A.","Local hospitals, health care providers","0","100 %",400,"3/19/2021",2021-03-21
"SpeciaLysts, Inc","Local hospitals, health care providers","0","97 %",1224,"3/19/2021",2021-03-21
"St. Catherine's University","Local hospitals, health care providers","0","100 %",244,"3/19/2021",2021-03-21
"St. Croix Regional Medical Center","Local hospitals, health care providers","0","100 %",400,"3/19/2021",2021-03-21
"St. Josheph's CHI - Hubbard County Public Health","Local Public Health","Yes","100 %",2456,"3/19/2021",2021-03-21
"St. Louis County Public Health and Human Services","Local Public Health","0","100 %",11446,"3/19/2021",2021-03-21
"St. Luke's","Local hospitals, health care providers","0","100 %",14707,"3/19/2021",2021-03-21
"St. Paul Corner Drug","Pharmacies","0","100 %",690,"3/19/2021",2021-03-21
"St. Paul Family Medical Center","Local hospitals, health care providers","0","100 %",458,"3/19/2021",2021-03-21
"St. Paul Ramsey County Public Health","Local Public Health","Yes","100 %",18475,"3/19/2021",2021-03-21
"State of Minnesota","State of Minnesota","0","100 %",187804,"3/19/2021",2021-03-21
"Stearns County Public Health","Local Public Health","0","100 %",4883,"3/19/2021",2021-03-21
"Steele County PHN Service","Local Public Health","Yes","100 %",3222,"3/19/2021",2021-03-21
"Stellis Health","Local hospitals, health care providers","0","100 %",1482,"3/19/2021",2021-03-21
"Sterling Drug","Pharmacies","Yes","100 %",2947,"3/19/2021",2021-03-21
"Stevens Community Medical Center","Local hospitals, health care providers","0","100 %",1399,"3/19/2021",2021-03-21
"Summit Orthopedics","Local hospitals, health care providers","0","100 %",85,"3/19/2021",2021-03-21
"Thrifty White","Pharmacies","Yes","100 %",64119,"3/19/2021",2021-03-21
"Todd County Health and Human Services","Local Public Health","Yes","100 %",1833,"3/19/2021",2021-03-21
"Tribal","Tribal","0","100 %",31198,"3/19/2021",2021-03-21
"Tri-County Health Care","Local hospitals, health care providers","0","100 %",2155,"3/19/2021",2021-03-21
"Trucare Pharmacy","Pharmacies","0","31 %",50,"3/19/2021",2021-03-21
"Trumm Drug","Pharmacies","0","100 %",925,"3/19/2021",2021-03-21
"Twin Valley Pharmacy","Pharmacies","0","100 %",189,"3/19/2021",2021-03-21
"U of M","Local hospitals, health care providers","0","100 %",4360,"3/19/2021",2021-03-21
"United Family Medicine","Federally Qualified Health Centers","0","98 %",3778,"3/19/2021",2021-03-21
"United Hospital","Local hospitals, health care providers","0","100 %",1119,"3/19/2021",2021-03-21
"Valley Drug","Pharmacies","0","100 %",64,"3/19/2021",2021-03-21
"Voyage Healthcare","Local hospitals, health care providers","0","100 %",3320,"3/19/2021",2021-03-21
"Wabasha County Public Health","Local Public Health","0","100 %",2180,"3/19/2021",2021-03-21
"Waconia Clinic Pharmacy","Local hospitals, health care providers","0","100 %",430,"3/19/2021",2021-03-21
"Wadena County Public Health","Local Public Health","Yes","100 %",1547,"3/19/2021",2021-03-21
"Walgreens","Pharmacies","Yes","100 %",89469,"3/19/2021",2021-03-21
"Walmart Pharmacy","Pharmacies","Yes","85 %",47209,"3/19/2021",2021-03-21
"Waseca County Public Health","Local Public Health","0","100 %",1404,"3/19/2021",2021-03-21
"Washington County Department of Public Health and Environment","Local Public Health","Yes","100 %",8137,"3/19/2021",2021-03-21
"Watertown Pharmacy","Pharmacies","Yes","96 %",2152,"3/19/2021",2021-03-21
"Watonwan County Human Services","Local Public Health","0","100 %",1213,"3/19/2021",2021-03-21
"Welia Health","Local hospitals, health care providers","0","100 %",3925,"3/19/2021",2021-03-21
"Wilkin County Public Health","Local Public Health","0","100 %",593,"3/19/2021",2021-03-21
"Williams Integracare Clinic","Local hospitals, health care providers","0","100 %",39,"3/19/2021",2021-03-21
"Winona County Community Services","Local Public Health","0","100 %",7636,"3/19/2021",2021-03-21
"Winona Health","Local hospitals, health care providers","Yes","100 %",4299,"3/19/2021",2021-03-21
"Wright County Public Health","Local Public Health","0","100 %",4864,"3/19/2021",2021-03-21
"Your Doctor, PLLC","Local hospitals, health care providers","0","100 %",391,"3/19/2021",2021-03-21
"Rochester Community Pharmacy","Pharmacies","0","100 %",29,"3/19/2021",2021-03-21
"Longbella Drug, Inc.","Pharmacies","0","100 %",8,"3/19/2021",2021-03-21
"Douglas Health","Local hospitals, health care providers","0","0 %",2,"3/19/2021",2021-03-21
